Priority,Feature,Source File,Location/Lines,Impact,Status,Effort,Description
1,AMMAP PipelineStateMachine,AMMAP-Code.txt,Full file,NUCLEAR,Missing,HIGH,"Async state machine with 8 states: IDLE→PLANNING→EXECUTING→ANALYZING→SUMMARIZING→COMPLETED→FAILED. Budget guards ($5 max), cost tracking, SSE streaming"
2,BuddySystem Class,buddysystem,Full file,MASSIVE,Missing,MEDIUM,"Dexie IndexedDB persistence for UserProfile, Memory, InteractionLog. Relationship tracking (new→acquaintance→friend→bestie), buddy points, 8K context pruning"
3,EmbeddingEngine (ONNX),RAG.txt,Section 1,HIGH,Missing,MEDIUM,"E5-small-v2 embeddings via onnxruntime-web. Chunking, tokenization, average pooling, L2 normalization"
4,RagManager Class,RAG.txt,Section 2,HIGH,Missing,MEDIUM,"Basic + Semantic retrieval modes. JIVE=context-only, JIGGA=vector similarity ranking"
5,WeatherWidget Component,WeatherWidget.tsx,Full file,MEDIUM,Missing,LOW,"Floating draggable widget with live time, temp, wind, humidity. Fixed position bottom-right"
6,WeatherCards Component,WeatherCards.tsx,Full file,MEDIUM,Missing,LOW,"3-day forecast cards with clickable weather images, condition→icon mapping"
7,WeatherModal Component,WeatherModal.tsx,Full file,MEDIUM,Missing,LOW,"Draggable modal with macOS-style header, blur backdrop, image viewer"
8,useProgressiveSearch Hook,useProgressiveSearch.ts,Full file,MEDIUM,Missing,LOW,"Streaming search results with AbortController, progress %, cache stats"
9,Universal Icon Mapping,universal_icon_mapping_all_domains.csv,Full file,MEDIUM,Verify,LOW,"150+ domain-concept mappings across 15 domains with Material icons + alternatives"
10,OpenTelemetry Telemetry,AMMAP-Code.txt,Section 2,HIGH,Missing,MEDIUM,"Prometheus metrics (TOOL_CALLS, MODEL_LATENCY, COST_METER, PIPELINE_ERRORS) + Jaeger tracing"
11,PipelineVisualizer (Mermaid),AMMAP-Code.txt,Section 7,MEDIUM,Missing,LOW,"Live state machine diagram rendering with step highlighting"
12,SSE Event Streaming,AMMAP-Code.txt,Section 5,HIGH,Missing,MEDIUM,"Real-time frontend updates via EventSourceResponse, connection tracking"
13,ConversationManager Class,2.md,~line 6844,MEDIUM,Missing,MEDIUM,"Persistent conversation history management"
14,ContextStore (Dexie),3.md,~line 6753,MEDIUM,Missing,MEDIUM,"IndexedDB persistence for crucial AI context with auto-recovery"
15,DocumentStore (Dexie),3.md,~line 6610,MEDIUM,Missing,MEDIUM,"IndexedDB for persistent document storage"
16,RagMonitorPanel,RAG.txt,Section 4,MEDIUM,Missing,LOW,"Live Chart.js analytics for JIGGA tier - similarity scores, QPS"
17,Metrics Collector,RAG.txt,Section 5,MEDIUM,Missing,LOW,"emitMetric + getRecentMetrics for in-memory analytics buffer"
18,getTimeContext Utility,3.md,~line 8059,LOW,Missing,LOW,"Time-aware context for AI responses"
19,getEnhancedGOGGAPrompt,3.md,~line 8108,MEDIUM,Verify,LOW,"Enhanced system prompt with buddy context and humor toggle"
20,getCePOEnhancedPrompt,3.md,~line 8216,LOW,Have CePO,LOW,"CePO-specific prompt enhancement"
21,getQwenLegalPrompt,3.md,~line 8242,MEDIUM,Verify,LOW,"Legal domain prompt for Qwen model"
22,shouldDisableHumor,3.md,~line 8260,LOW,Missing,LOW,"Detect serious topics to disable humor"
23,getGoggaIntroduction,3.md,~line 8281,LOW,Missing,LOW,"Time-aware introduction with buddy points"
24,UsageTracker (Frontend),2.md/3.md,Multiple,MEDIUM,Missing,LOW,"Client-side token/usage tracking with tier support"
25,FileModal Component,RAG.txt,Section 3,LOW,Partial,LOW,"File upload/delete with conversation binding"
26,UniversalSpider (Scrapy),AMMAP-Code.txt,Section 4,LOW,Missing,HIGH,"Web scraping with OTel trace context propagation"
27,PDFProcessor (Nemotron),AMMAP-Code.txt,Section 4,LOW,Missing,HIGH,"Vision-based PDF extraction with structured JSON output"
28,AutoGen AssistantAgent,Assistant.txt,Full file,LOW,Reference,HIGH,"Multi-agent orchestration framework - for future Phase 2"
29,AutoGen Guardrails,Assistant.txt,Multiple,LOW,Reference,MEDIUM,"Input/output validation before & after LLM responses"
30,AutoGen Handoffs,Assistant.txt,Multiple,LOW,Reference,MEDIUM,"Agent switching based on conditions (OnCondition)"
31,useWeatherModal Hook,WeatherCards.tsx,Import,MEDIUM,Missing,LOW,"Draggable modal state management for weather images"
32,useDraggable Hook,WeatherWidget.tsx,Custom hook,MEDIUM,Missing,LOW,"Viewport-constrained dragging with mouse events"
33,getWeatherForecast API,WeatherWidget.tsx,Import,MEDIUM,Missing,LOW,"Weather API integration - requires weatherApi.ts"
34,WeatherForecast Type,WeatherWidget.tsx,Import,LOW,Missing,LOW,"TypeScript types for weather data - requires types/location.ts"
35,enhancedSearch Utility,useProgressiveSearch.ts,Import,MEDIUM,Missing,MEDIUM,"Search engine with progressive callbacks and cache"
36,SearchResult Type,useProgressiveSearch.ts,Import,LOW,Missing,LOW,"TypeScript type for search results"
37,CePO Service,App.tsx,~line 2200-2380,HIGH,HAVE IT,N/A,"Already implemented in gogga-backend/app/services/cepo_service.py"
38,TierRouter/ModelRouter,App.tsx,~line 2880-2960,HIGH,HAVE IT,N/A,"Already implemented in gogga-backend/app/core/router.py"
39,SA Language Detection,App.tsx,~line 1950-2000,LOW,Missing,LOW,"South African language detection patterns (Afrikaans, Zulu, Xhosa, Sotho)"
40,SerpAPI Integration,App.tsx,~line 2590-2750,MEDIUM,Verify,MEDIUM,"Real-time web search with local business focus"
